,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
nazov,Emisie základných znečisťujúcich látok,,,,,,,,,,,,,,,,,,
Jednotky,Produkcia v tonách,,,,,,,,,,,,,,,,,,
Typ emisií,Tuhé emisie,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Okres Vranov nad Topľou,"441,9","84,6","85,8","66,2","110,8","173,2","153,6","176,2","78,0","84,5","139,7","97,0","76,9","436,3","546,0","717,9","240,2","268,7","273,4"
Okres Gelnica,"265,1","4,6","5,2","5,0","6,4","7,5","8,3","9,0","9,2","10,4","11,8","23,4","24,7","31,6","54,3","43,3","46,5","42,6","42,0"
,,,,,,,,,,,,,,,,,,,
Okres Košice I,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice II,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice III,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice IV,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice - okolie,"824,7","64,6","76,7","116,3","92,1","98,4","101,1","107,8","145,8","168,1","143,9","169,5","202,4","221,3","191,7","206,6","212,2","225,1","347,2"
Okres Michalovce,"348,1","72,7","62,6","44,8","34,0","51,5","63,3","60,4","53,2","61,3","109,4","154,0","206,5","6 658,6","10 202,8","6 017,6","5 900,9","5 951,7","7 209,5"
Okres Rožňava,"577,7","17,9","19,1","21,0","22,2","24,1","17,6","19,0","22,5","25,0","22,8","135,1","187,3","211,9","165,9","143,1","114,8","141,9","185,1"
Okres Sobrance,"126,0","5,4","10,0","11,8","10,2","11,0","13,2","14,3","3,6","3,1","5,1","9,2","6,2","4,9","4,0","4,6","7,1","9,4","12,0"
Okres Spišská Nová Ves,"300,0","11,0","19,6","22,2","26,3","17,6","18,3","28,3","36,9","45,4","61,3","73,9","66,6","47,8","43,8","45,4","49,8","90,7","223,4"
Okres Trebišov,"372,2","12,4","10,8","8,2","6,5","5,6","6,5","7,9","16,7","18,3","17,4","20,0","20,3","33,5","23,1","37,2","52,7","44,7","52,4"
